,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
2196,No,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.5,1
2284,No,34,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.05,1
2583,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,113.45,0
1615,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.4,0
4757,Yes,52,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,0
4606,Yes,66,No,No,DSL,No,Yes,Two year,No,50.55,0
713,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,23.75,0
3688,Yes,6,No,Yes,DSL,Yes,Yes,Two year,No,40.55,0
1139,No,71,No,No,Fiber optic,Yes,No,One year,Yes,98.65,0
1089,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.3,0
1075,Yes,44,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.5,0
446,No,4,No,No,DSL,No,No,Month-to-month,Yes,56.4,0
2414,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.4,0
2846,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,81.05,0
3385,No,46,Yes,No,DSL,No,No,Month-to-month,No,55.0,0
18,No,7,Yes,No,DSL,Yes,No,One year,No,35.3,0
4720,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,74.85,0
572,Yes,69,No,Yes,Fiber optic,No,Yes,Two year,Yes,93.3,0
3160,No,43,No,Yes,Fiber optic,No,No,Month-to-month,No,80.45,0
1942,No,61,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.4,0
2830,No,58,Yes,Yes,DSL,No,No,One year,Yes,45.35,0
155,No,26,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.85,1
897,No,55,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.45,0
4096,Yes,68,Yes,Yes,DSL,Yes,Yes,One year,Yes,78.45,0
3807,Yes,72,Yes,No,DSL,Yes,Yes,Two year,Yes,66.5,0
2255,Yes,17,Yes,Yes,DSL,No,No,Month-to-month,No,74.55,0
1084,No,4,No,No,DSL,No,No,Month-to-month,No,55.5,0
1411,No,48,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,107.4,1
4466,No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,75.3,1
258,Yes,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,0
486,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.7,1
1393,No,66,No,No,Fiber optic,Yes,No,One year,Yes,92.15,0
3771,No,40,No,Yes,Fiber optic,No,No,Month-to-month,Yes,101.3,1
1223,No,17,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.65,0
3996,Yes,30,No,No,DSL,Yes,Yes,One year,Yes,64.5,0
3442,No,10,No,No,Fiber optic,No,Yes,Month-to-month,Yes,98.5,1
1135,No,57,No,Yes,DSL,Yes,No,One year,Yes,71.1,0
661,No,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.45,0
374,Yes,67,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.2,0
1485,Yes,46,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.25,0
3429,No,35,No,No,Fiber optic,No,Yes,Month-to-month,Yes,91.5,0
2996,No,32,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.5,0
1227,Yes,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.65,0
25,Yes,40,No,No,Fiber optic,Yes,No,Month-to-month,Yes,81.2,0
4155,No,9,No,No,DSL,No,No,Month-to-month,Yes,24.95,0
4417,Yes,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,0
3178,No,3,No,No,DSL,Yes,No,Month-to-month,Yes,49.15,1
4281,No,10,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.4,1
777,Yes,52,Yes,No,DSL,Yes,No,One year,No,44.25,0
732,No,29,No,No,Fiber optic,No,No,Month-to-month,Yes,84.3,0
1137,No,46,No,No,Fiber optic,Yes,No,Month-to-month,Yes,101.0,1
1014,Yes,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,0
2440,No,41,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,24.85,0
3300,Yes,72,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,104.9,0
4737,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.3,0
2024,No,22,Yes,No,DSL,No,No,Month-to-month,Yes,48.8,1
4206,Yes,29,No,Yes,DSL,Yes,No,Month-to-month,No,80.1,0
2778,Yes,37,No,No,Fiber optic,No,No,Month-to-month,Yes,95.25,0
1775,No,44,No,Yes,Fiber optic,No,No,One year,No,88.4,1
1696,No,42,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.65,0
359,Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,0
3046,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.2,0
4384,Yes,66,Yes,Yes,Fiber optic,Yes,No,One year,Yes,103.15,0
512,No,15,No,No,Fiber optic,No,No,Month-to-month,No,88.15,1
1187,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,95.15,1
941,No,39,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,48.95,1
1057,No,57,No,Yes,Fiber optic,Yes,Yes,One year,Yes,109.4,0
2171,No,5,No,No,DSL,No,No,Month-to-month,No,24.3,0
780,Yes,57,No,Yes,Fiber optic,No,No,One year,Yes,95.0,0
2031,No,3,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,107.95,0
2014,No,7,Yes,No,DSL,No,No,Month-to-month,Yes,53.65,0
1427,No,68,No,Yes,Fiber optic,Yes,Yes,Two year,No,90.2,0
2403,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.95,0
277,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,0
4170,No,65,Yes,Yes,Fiber optic,No,Yes,One year,Yes,100.15,0
1609,No,2,No,No,Fiber optic,Yes,No,Month-to-month,Yes,91.45,0
4018,No,60,Yes,No,Fiber optic,No,Yes,Two year,Yes,97.2,0
1717,No,45,Yes,No,DSL,Yes,Yes,One year,No,42.3,0
1764,No,29,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.8,0
2124,Yes,53,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.85,0
2766,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,1
913,No,41,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.7,1
3077,No,43,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.1,0
1856,No,22,Yes,No,DSL,No,No,Month-to-month,Yes,49.8,0
4738,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.9,0
4784,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.1,0
3889,No,63,Yes,Yes,DSL,Yes,Yes,One year,No,68.8,0
2988,No,71,Yes,Yes,DSL,Yes,Yes,One year,Yes,84.8,0
1189,No,2,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.45,0
3595,Yes,9,No,No,Fiber optic,Yes,No,Month-to-month,Yes,79.35,1
396,No,43,Yes,No,Fiber optic,No,No,Month-to-month,Yes,75.2,1
3075,No,47,No,No,Fiber optic,Yes,No,Month-to-month,Yes,85.3,1
